DocID	SchoolID
601	1
602	0
603	1
604	1
605	0
606	1
607	1
608	1
609	1
610	1
611	0
612	2
613	1
614	2
615	1
616	1
617	0
618	0
619	1
620	1
621	0
622	1
623	1
624	0
625	2
626	1
627	2
628	2
629	1
630	1
631	1
632	1
633	1
634	2
635	1
636	2
637	1
638	1
639	1
640	1
641	1
642	1
643	1
644	1
645	1
646	1
647	1
648	0
649	1
650	0
651	1
652	1
653	0
654	1
655	1
656	0
657	2
658	2
659	1
660	0
661	1
662	1
663	1
664	0
665	1
666	1
667	2
668	0
669	0
670	0
671	1
672	0
673	2
674	2
675	1
676	2
677	1
678	1
679	-1
680	1
681	2
682	2
683	2
684	1
685	2
686	1
687	1
688	0
689	1
690	0
691	1
692	1
693	1
694	1
695	1
696	0
697	1
698	2
699	2
700	0
701	1
702	0
703	2
704	2
705	2
706	1
707	1
708	0
709	2
710	1
711	1
712	2
713	2
714	1
715	2
716	0
717	1
718	2
719	1
720	2
721	1
722	2
723	1
724	0
725	2
726	1
727	1
728	0
729	1
730	1
731	0
732	2
733	1
734	1
735	0
736	1
737	2
738	0
739	0
740	0
741	1
742	1
743	2
744	1
745	1
746	2
747	2
748	1
749	1
750	2
751	1
752	1
753	2
754	2
755	0
756	0
757	2
758	1
759	1
760	0
761	1
762	2
763	1
764	1
765	1
766	1
767	1
768	1
769	0
770	1
771	-1
772	1
773	-1
774	2
775	-1
776	1
777	1
778	1
779	1
780	2
781	1
782	0
783	0
784	2
785	0
786	1
787	0
788	1
789	2
790	2
791	1
792	1
793	0
794	1
795	2
796	1
797	1
798	0
799	1
800	2
801	1
802	1
803	2
804	1
805	1
806	1
807	0
808	1
809	2
810	1
811	1
812	1
813	1
814	1
815	1
816	2
817	1
818	1
819	0
820	2
821	1
822	-1
823	2
824	1
825	1
826	2
827	2
828	2
829	2
830	0
831	1
832	1
833	1
834	1
835	1
836	0
837	1
838	0
839	1
840	2
841	1
842	2
843	1
844	1
845	2
846	1
847	2
848	2
849	1
850	1
851	1
852	2
853	1
854	2
855	0
856	2
857	1
858	2
859	1
860	1
861	1
862	2
863	1
864	1
865	0
866	1
867	2
868	2
869	1
870	1
871	1
872	1
873	1
874	2
875	0
876	1
877	1
878	2
879	1
880	1
