ID	Text
32	This course is an introduction to the study of public opinion. The course explores the origins of public opinion (political socialization; socio-demographic, personality, and political influences; and the mass media). The course will also cover public opinion polls and survey research techniques. Finally, the course will study the impact of public opinion on policy makers and public policy.
33	This course is for students who have completed the equivalent of three semesters of college Arabic.
34	A study of ecological processes in marine environments of the tropics. Lectures will emphasize the application of basic ecological principles to life in the ocean, then focus on characteristics of marine habitats in the tropics and of the groups of organisms that occur there.  The laboratory portion of the course will involve two weeks of intensive field work at a tropical marine laboratory.
35	An introductory course concentrating on how new venture opportunities are identified and assessed.  Special attention is given to exploring the unique role of entrepreneurship and innovation in society.  Course content focuses both on understanding the historical, social, and ethical context of entrepreneurship and in seeking, assessing and developing new venture opportunities.  Students will learn alternative approaches to finding new venture opportunities and assessing the viability of those opportunities.
36	The study of crimes, e.g. murder, manslaughter, conspiracy, accomplice liability, burglary, theft. The case law approach is used.
37	An introduction to the study of functions of a complex variable. Topics will include complex numbers, sequences, analytic functions, Cauchy-Riemann equations, complex integration, Laurent and Taylor Series, residue theorem, and conformal mapping.
38	To increase proficiency in speaking Arabic and deepening the understanding of cultural realities. This course is for students who have completed the equivalent of four semesters of college Arabic.
39	An introduction to the object-oriented design paradigm with an emphasis on problem solving, algorithm development, and implementation of algorithms as computer programs in an object-oriented language.  Other topics will include data representation, programming style, program testing and analysis of algorithms.
40	This course is an introduction to the mathematical and algorithmic principles of computer graphics as well as graphical applications programming.  Topics covered include two and three-dimensional transformations, three-dimensional viewing, shading models, curves and surfaces, ray tracing, texture mapping, and algorithmic issues.  In the laboratory these topics will be explored using graphics software tools and through programming using graphics libraries. 
41	An introduction to the chemistry of carbon compounds, including the study of bonding, structure, nomenclature, physical and spectrosopic properties, methods of preparation and reactivity of alkanes, alkenes, alkynes, alkyl halides, and alcohols. Separation and purification techniques are stressed in the laboratory and reaction products are analyzed by spectroscopic and chromatographic methods, including GC, HPLC, FTIR, and FT-NMR.
42	This course serves as an introduction to the basic principles of Astronomy. The course is taught at a non-technical level, and is intended both for non- science majors. Topics include the history of Astronomy, the Solar System, stars, galaxies, the structure and evolution of the Universe, and the origin and evolution of life. Emphasis is placed on the quantitative and qualitative description of astronomical objects, the methods of scientific deduction, and the implications of astronomical knowledge. Opportunities for field and laboratory work will be provided.
43	An introduction to religion through an historical examination of western religious communities, the course focuses on Judaism, Christianity, and Islam as they have developed in a variety of forms while retaining certain central traditions.
44	This course, taught in English, provides an overview of women's writing and cultural expression from Latin America through novels, short stories, poetry, film and music. Historical and contextual background of the authors and their countries of origin are interwoven into course material.  This course examines women's search for a voice in Latin America.
45	An examination of how the natural environment is affected by the economic activities of society, and the physical and biological limitations imposed on the economy by the natural environment. Particular areas examined include the use of non-renewable natural resources, market failures, economic methods for analyzing pollution, cost/benefit analysis, the impact of population growth, and the values implicit in free market economies toward the natural environment.
46	An intermediate level treatment of the theories of consumer behavior and demand, production and cost, the firm and market organization, and factor markets. Microeconomic topics might include price control, pollution, efficiency, equity, taxes, subsidies, and government regulation.
47	This course covers the principles of anatomy, physiology and genetics as applied to human health and disease. Content is focused on four systems: genetics and development, cardiovascular system, neuro-muscular system and digestive system and nutrition. Through study of clinical applications students will understand 1) the biological basis of human diseases, 2) the physiological consequences of disease progression, including treatments and prevention and 3) how to access and use medical and scientific information to investigate questions in human biology. Demonstrations, experiments and readings will support these topics and allow exploration of ethical and other issues relevant to human biology. In addition, all students will take part in a long- term independent investigation of a case study in human health.
48	This course will use peer evaluations and the traditional writing workshop to foster student skills in writing poetry. Students are required to distribute poems they have written to the class for critique and group evaluation.  Poetic theory and technique will be examined, and the works of contemporary poets will be studied.  Students will be introduced to the art of writing contemporary poetry.
49	In this studio art course, students will be introduced to new art forms such as assemblage sculpture, sound art, action art, experimental video and installation art. In addition to studying the history and theory behind new art forms, students will produce original pieces in these new media and present them to the class for discussion. No experience in art or in any of the technical aspects of these art forms is necessary. The course goal is to increase awareness and understanding of contemporary art, and to expand one's sense of aesthetics.
50	American Renaissance Literature examines the emergence of the American narrative, the American character, and the de- velopment of the Transcendentalist and Romantic literary movements.  Close attention will also be paid to ab- olitionist writing, slave narrative, and the establishment of the American woman writer against the background of the expanding nation.  Students may study such authors as Irving Cooper, Jacobs, Emerson, Thoreau, Hawthorne, Poe, Fuller, Fern, Stowe, Douglas, Melville, Sedgwick, Whitman, or Kirkland.
51	The structural, biochemical, and cellular strategies that plants use to grow and develop will be explored. Topics will include photosynthesis and metabolism, control of water uptake, vascular systems, hormone signaling, environmental perception (light, gravity, day length, etc), and responses to environmental stress. Where possible, we will compare and contrast physiological and cellular processes in plants with equivalent ones found in animals. The laboratory corresponds closely with lecture, provides hands-on training in many modern physiological and cellular techniques, and includes a multi-week independent study project. There is typically a field trip to the New York Botanical Garden at the end of the semester.
52	A study of population trends in the United States and across the world. The course will be organized around three basic variables: fertility, mortality, and migration.
53	This course considers the evolution of British literature in the early to mid-20th century in the wake of a collapsing Empire and two World Wars.  The innovative, experimental modes of expression of Modernism, disillusionment with Vic- torian values, changing attitudes toward gender and sex- uality and the redefinition of British identity will be ex- plored through such writers as Conrad, Lawrence, Woolf, Mansfield, West, Ford, and Maugham.
54	Development of reading and speaking skills will be emphasized. Grammar and syntax will be reviewed and new material introduced. Emphasis will be placed on increasing both passive and active vocabulary using a wide range of sources including textbooks, literary and journalistic sources, and class discussion.
55	A study of the emergence of the regional state system, deep economic transformation, and wrenching social and cultural changes since 1800.  Particular attention is given to the reasons for conflict and war.
56	A survey of the origins of the United States from early Colonial foundations to the establishment of the national government with emphasis upon the political maturation of the American colonists.
57	A course consisting of the physiological and neurological bases for behavior, including the study of the nervous system, endocrine system, sensation and perception, the motor system, and the physiological basis for motivation.
58	The significant impact of society's energy needs on the environment will be examined. The course will cover our society's different sources of energy (fossil fuel, nuclear, hydropower, solar, etc), discussing how each is obtained, and giving their advantages and limitations. The use of energy in the future will also be explored, as some present sources run out and new ones become practical. The basis of climate will be developed, and students will learn how changes to Earth's atmosphere and oceans affect human civilations and natural ecosystems. Each week one or more group or demonstration experiments will be performed, to illustrate concepts.
59	A study of selected masterpieces of German, Austrian, and Swiss Literature including novels, short stories, drama, and poetry, read in English translation.
60	Lecture and laboratory covering topics in thermodynamics, equilibrium, acids and bases, chemical kinetics, and electrochemistry. Laboratory focuses on chemical analysis by traditional and modern techniques with emphasis on instrumental methods as well as digital data acquisition and analysis.
61	The study of formal organizations in a comparative framework. the course will examine the social causes of the development of formal organizations, analyze the internal structure of some types of formal organizations such as corporations, government agencies, hospitals, and universities, and look at the impact of that structure on the achievement of individual, organizational, and societal goals.
62	An introductory level studio course covering the practice, history, and theory of painting. The use of the brush, color theory, and the depiction of space will be explored through the observational study of a variety of subjects. Students will inquire into the purpose of painting and analyse the historical and contemporary uses of the media.  Emphasis will be placed on the creative application of the media.
63	A study of selected masterworks of French literature from its medieval beginnings through the twentieth century, including novels, short stories, drama and poetry, read in English translation. No knowledge of French language is required.
64	The purpose of the course is to analyze the Western Tradition as it evolved from 1500 to 1900; to understand and appreciate non-Western civilizations and their encounters with the West; and to examine the human condition over time, both the role of the powerful and the powerless.
65	This course is the first part of a two course research methods sequence. It provides an overview of the political science discipline, its evolution, and its subfields. Students are introduced to the systematic, empirical approach to the study of politics, and are alerted to the issues that may arise when doing social science research. In this course students are also introduced to various qualitative approaches to data collection and analysis.
66	A survey of the history of Latin America from 1492 to independence in the 1820s.
67	Examples of mathematical modeling will be applied in the context of biological problems drawn from ecology, evolution, epidemiology, public health, economics, biochemical reactions, and medicine.  Analysis techniques will draw from differential equations, probability, optimization, and game theory, with the overarching theme of model development and implementation, analysis and result interpretation.
68	This course addresses the pertinent management issues of the of the trillion dollar nonprofit sector and explores the theory and practice of effective management of nonprofit organizations, with an emphasis on practical application. In particular, the course will explore the role of nonprofit organizations in a society and the key theories, issues, debates, and unique challenges facing managers and leaders in the nonprofit sector. 
69	The course is designed to prepare and expose students to public policy making in New York State and allow them to participate in public policy formulation and execution at the state , substate and not-for-profit level. Students will serve as Public Service Interns 120 to 150 hours during the semester performing duties and responsibilites as determined by the agency supervisor in consultation with the faculty director. Students will be graded based upon the joint evaluation of agency supervisor and internship professor.
70	A study of Hinduism in its specific cultural and historical settings, paying considerable attention to diverse Hindu texts and practices from the east and the west. Explores Hindu iconographies, narratives, spaces and ways of worship.  Introduces interpretive strategies from comparative, feminist, social, and historical frameworks.
71	This course cover the synthesis, characterization and physical properties of organic compounds. Multistep synthesis of complex targets of current interest will be discussed, including aspects of chemo-, regio- and stereoselectivity. The course will also cover the char- acterization of organic molecules including NMR, mass spectroscopy, chromatography, thermal analysis and other spectroscopic and physical methods. In the laboratory portion of the course students will synthesize and characterize organic compounds and materials.
72	This academically oriented course will be taught in English and consists of coursework in English followed by an intensive travel study component in Russia. Orientation meetings, research, lectures and discussions will prepare students for an informed field experience. Upon return, students present a project/research paper and portfolio based on their cultural, historical, socio- economic knowledge acquired in the class and abroad.
73	This course focuses on knowledge, skills, values and ethics competencies in social work practice with treatment and task groups. Cultural competence is emphasized in working with group members of diverse backgrounds as well as strategies for the promotion of social justice through groups.
74	This course is an introduction to the study of group inter- action through theoretical perspectives and current research. The study of group dynamics include topics such as group formation and socialization, communication, how power is wielded in groups, the beneficial and detrimental effects of groups on performance and decision-making, conformity in groups, intergroup relationships, and conflict. Classes will be structured so that students have opportunities to monitor their own group processes as they study theory and research. 
75	This course explores special topics in biochemistry including a close examination of biochemical reaction mechanisms and enzyme kinetics, and readings from the current biochemical literature.
76	The course examines the history, cultural, political, economic forces which inform the politics of China and its relations with Japan, Taiwan, North and South Korea and the rest of the world. The course will examine such issues such as economic development, international trade, human rights, political organization, environment, and national security which impact these countries' domestic and foreign policies.
77	In this studio are course, students will build a series of short videos prompted by topics and genres relating to the history and evolution of video art and experimental film. Students will have access to a range of digital cameras and learn how to edit in Adobe Premiere Pro. The class will also learn Dragonframe to create a collaborative stop-motion video. The course goal is to become familiar with the history, theory, and aesthetics of this new art medium, and to gain experience in making, critiquing, and exhibiting one's own original videos. No experience in art, video, or sound production is necessary.
78	An introduction to the accounting principles and practices of government and not-for-profit organizations. The course considers fund accounting principles and the unique financial reporting problems important to entities operating within the non-profit area: state and local government, colleges and universities, hospitals, health and welfare agencies, churches and other organizations.
79	Lecture and laboratory address the application and theory of various analytical methods including gravimetric, electro- chemical, and spectrophotometric analysis, chromatography and statistical treatment of data and error analysis.
80	This course introduces students to the political science study of political advertising and marketing, with additional focus on preparing students to work in the field of campaign politics. Emphases include the influence and pervasiveness of negative advertising, targeted advertising, online advertising, and the crafting of political messages for maximal influence.
81	A survey of the factors and forces that made Modern French Civilization.
82	A study of the region from the rise of Islam to the beginnings of modernization, with emphasis on the interplay of politics, religion, economy, and culture between 600 and 1800.
83	This class, taught in English, will focus on Medieval and Early Modern Spanish poetry, prose and drama.  A series of works that are considered canonical masterpieces will be analyzed within the political, social, religious and historical context of the Iberian Peninsula between the years of 1100 and 1650.  Selected texts from authors like Juan Ruiz, Quevedo, Gongora, Cervantes and Lope de Vega, among others, will be read in English translation.
84	This course examines how firms make effective financial management decisions in an uncertain, multinational environment.  Students will learn how to determine financing needs, evaluate financing alternatives and assess the impact of financing decisions on the cost of capital.  Students will apply a consistent valuation methodology to multinational firms, assess alternatives for firms to return value to shareholders and apply options analysis to capital budgeting decisions.
85	This course will examine the complex and diverse nature of sports marketing from a strategic marketing perspective. Specific emphasis will be placed on the congingency framework for strategic sports marketing, with attention to market selection, marketing mix decisions, and the implementation and control of the strategic sorts marketing process. Additionally the course will examine marketing through sports; using sports as a platform for developing strategies and tactics to sell nonsports products.
86	The origin and development of the contemporary roles of the President as a decision maker and the importance of the presidency in the American Political System. Studies examining the selection process and the relationship between presidents and other decision- making actors, such as the Congress, interest groups, the courts and the bureaucracy, will be used to inform the students to help critically analyze both continuity and changes in the influence of the office
87	The study of those socially constructed institutions, beliefs, and conditions that result in differential outcomes within various populations in countries around the world. The course employs appropriate sociological theories and methodologies as it addresses not only the cause of social problems, but also their interrelationship with other problems as well as possible solutions.
88	Designed for students seeking a basic understanding of the biology of microorganisms with an emphasis on applications to health care.  Lectures cover the fundamentals of microbial morphology and physiology and the role of microorganisms in the environment and human disease.  Laboratory emphasizes standard techniques of staining, culturing and identifying bacteria.
89	A survey of the religious experiences and traditions of selected Non-Western peoples. The traditions which will be examined include the religions of native peoples, Buddhism, Hinduism, and traditions of China and Japan. Emphasis will be placed on the living and dynamic nature of these traditions in the past and their expressions in the contemporary world.
90	This academically oriented course will be taught in Arabic and consists of coursework followed by an intensive travel study component in a selected Arabic- speaking country. Orientation meetings, research, lectures and discussions will prepare students for an informed field experience. Upon return, students present a project/research paper and portfolio based on their cultural, historical, socio-economic knowledge acquired abroad.
91	Managerial Economics applies economic theory to decision making under uncertainty and analyzes issues faced by managers of an organization.  This course provides a structural framework for analyzing the internal goals and operations of an organization and the external environment in which the organization operates.  Applying economic theory to organizational decisions can increase the rationality and predictability of a changing global competitive landscape.  The course focuses on how decisions affect issues associated with economic and social justice, and sustainability.  Topics include economic problem solving and decision making, consumer behavior, producer behavior, cost structures, strategic behavior and uncertainty, and organizational structure .
92	This course provides students with a thorough introduction to mergers and acquisitions.  Topics include motives for undertaking M&As, takeover and anti-takeover tactics, the valuation of M&As, tax, legal, and accounting issues, and leveraged buyouts.  The ethical issues involved, and the managers' potentially conflicting motives in undertaking these transactions, are also examined. 
93	A survey of the rise and development of world theatre, from its origins through the English Restoration, focusing on theatre architecture, plays, acting styles, theatrical con- ventions, methods of production and critical perspectives during significant periods of theatrical activity.  This course is designed for students with no theatre experience as well as those already acquainted with the stage.  A field trip to a professional production is required. 
94	An introductory course in elementary harmony. Its main objective is to engage students in, and guide them through, the creative processes involved in music making and analysis through music notation, melodic writing, and elementary harmony. The stated objectives are achieved by engaging students in frequent hands-on in-class exercises and a final project.
95	Selected German Readings offered as a tutorial for advanced students of German.
96	This course is open to all Creative Arts majors and minors. Students will do and present academic research and creative work in any medium for class critique and discussion with the goal of defining their cretive process and focusing their media and concepts. Art history majors will present papers critiquing their peers' work for discussion and feedback. In addition, contemporary arts theory and practice will be studied, analyzed and applied to one's own work. The class will also visit local arts organizations and come to better understand one's role as an artist in any specific community, the global publishing and electronic community, and one's options for both professional and avocational work in the arts.
97	Set between the crumbling of the Roman Empire and the time commonly called the Enlightenment, the Medieval and Renaissance periods encompassed a time of religious diversity, cultural contact, and shifting gender roles. Medieval and Renaissance Studies, a multidisciplinary field, introduces students to the founding traditions of Western Society. This course is an introduction to the nature and methodology of the field; the primary source materials including documents, poetry, music, art, letters, laws, and/or other sources; and the disciplines that comprise medieval and Renaissance studies.
98	Students will examine the critical role of strategic communication in achieving an organization's objectives, including during times of crisis.  Topics will cover a complete range of current communications tools and how to use them in a strategic way.  Emphasis will be placed on skills and techniques for developing an integrated approach towards communication and strategy. Students will learn and practice skills that apply to the changing world, including how to manage and communicate during times of organizational change, communicating in times of crisis, managing conflict, communicating to manage and implement large scale projects, and public relations and dealing with the news media, community and other stakeholders.
99	Students will review narrative accounts of the school experiences of adolescents from diverse backgrounds. Their first task will be to consider how narrative, empirical, and theoretical knowledge provide different perspectives on understanding the school lives of adolescents. Then, they will examine how cultural canons about adolescence influence the many ways young people live out their lives in school. They will review and interpret narrative accounts of schooling through fiction, autobiography, movies and self-reflection about adolescence. Students will not be given the answers or told what to think about adolescence and schooling. Rather, readings and class presentations will provide them with information and theoretical points of view which sometimes conflict. Ultimately, they will be asked to examine these multiple perspectives to create their own way of viewing adolescents in school settings. A twenty-hour field experience at the middle school or junior high school level is required (transportation is the responsibility of each student).
100	Web Application Development is a hands-on laboratory based course covering the design and implementation of dynamic web-based applications. Topics include server and application architecture, database-driven development, interface design, content management and security issues. Students will study the principles of extensibility, accessibility, and standardization and how they relate to the design of modern websites. 
101	This course explores the nature and causes of fluctuations in aggregate business activity and the technique used to forecast. To gain an understanding of these techniques, and the usefulness of forecasts, students will prepare a forecast and explore its application to firm decision making.
102	The application of mathematics and physics to the solution of macroscopic problems in chemistry. Topics include the properties of ideal and real gases, extensive and intensive properties, the laws and mathematics of thermodynamics, the chemical potential, chemical equilibrium of single and multiphase systems, ideal and real solutions, ionic solutions and electrochemistry, introductory chemical kinetics and kinetic molecular theory.
103	This course focuses on marketing entrepreneurship and innovation of new product development and management throughout the product life cycle. The first part of the course studies the new product/service development and marketing process from concept development and testing to market introduction for new or established organizations. Attention is devoted to creating an environmnet conducive to innovation, recognizing business opportunities, and assessing the market, customer, and competitive situations. The second aspect of the course relates to branding and brand management including the tasks of product positioning, brand personality and equity, and alternating branding strategies.  The course facilitates the development of the conceptual knowledge and applied skills students will need in order to meet the needs of a diverse global market across all socio-economic groups.
104	This course surveys human mental processes. Cognition in- volves the ability to store, retrieve, and use knowledge. In-class demonstrations and activities supplement lecture material on attentional processes, memory, imagery, concept formation, language, reasoning, problem-solving, and cre- ativity. The course emphasizes theoretical and experimental aspects of cognitive psychology as well as everyday applica- tions, and relates cognitive processes to other areas of psychology such as development, clinical, social,and neuro- psychology.
105	This course will introduce the formal and narrative study of film.  We will focus on film history, the technology of film production, and the methodology of film studies as an academic discipline.  Through screenings, readings, discussion, and writing, students will develop a formal and aesthetic appreciation of film, and acquire a general awareness of film history and its key movements from its beginnings as a black and white silent art form to the contemporary global digital age.  We will pay particular attention to the cultural, political, and economic contexts from which it emerges.  This course is a requirement of the Film Studies Minor and it is highly recommended, but not required, as a prerequisite for other Film Minor courses.
106	This academically oriented course will be taught in English and consists of coursework in English followed by an intensive travel study component in a selected German-speaking country. Orientation meetings, research, lectures and discussions will prepare students for an informed field experience. Upon return, students present a project/research paper and portfolio based on their cultural, historical, socio-economic knowledge acquired in the class and abroad.
107	Catholicism and American cultures encountered one another through misunderstanding and fear moving towards a period of intolerance and persecution. The course will examine how American Catholicism developed through justice issues such as religious freedom, social justice, racism, and gender equality. Using a thematic approach to studying the history of Catholicism in America, the course will also employ social science, psychological and political texts to paint the broadest picture of the development of American Catholicism.  A major focus will be on the development of the Franciscan missions along the west coast as well as the southern border of the United States.  These missions contributed further to the American Catholic experience
